logFC,AveExpr,t,P.Value,adj.P.Val,B,comp,geneIDs
4.7347265,4.49146925,23.1807713162,0.0005588334,0.0916025486,0.7711197164,Male/Female,g18862
-31.731441,17.57965,-23.13854523,0.0005613731,0.0916025486,0.7684419622,Male/Female,g7240
63.2850795,159.30349725,23.1108424022,0.0005630481,0.0916025486,0.766679506,Male/Female,g5350
3.51676,2.2202395,23.0628993641,0.0005659635,0.0916025486,0.7636186656,Male/Female,g17218
58.689278,171.593647,23.0183201574,0.0005686933,0.0916025486,0.7607603573,Male/Female,g13662
86.68549,172.729574,22.9097361246,0.00057542,0.0916025486,0.7537485357,Male/Female,g17413
-4.0649075,2.03245375,-22.8796367666,0.0005773043,0.0916025486,0.7517923089,Male/Female,g6866
37.681984,66.999939,22.7928832061,0.0005827839,0.0916025486,0.7461232283,Male/Female,g4463
3.5000085,15.94223275,22.7356864834,0.0005864365,0.0916025486,0.7423604395,Male/Female,g15428
61.3803855,57.78293625,22.6857916443,0.0005896491,0.0916025486,0.7390615683,Male/Female,g3542
6.346492,19.68109,22.6597491886,0.0005913356,0.0916025486,0.737333613,Male/Female,g11463
-5.247066,13.6028625,-22.625279512,0.0005935783,0.0916025486,0.7350400167,Male/Female,g20995
-7.071781,10.8035395,-22.6145040985,0.0005942818,0.0916025486,0.7343215062,Male/Female,g16959
-6.9571605,8.72748575,-22.5786984785,0.000596628,0.0916025486,0.7319287536,Male/Female,g13303
-8.3227725,35.68206275,-22.3639981987,0.0006109715,0.0918900723,0.7174112804,Male/Female,g13166
-21.8131675,10.90658375,-22.348034576,0.0006120572,0.0918900723,0.7163201098,Male/Female,g16307
-4.1174855,34.09131575,-22.3338107752,0.0006130268,0.0918900723,0.7153464788,Male/Female,g16698
5.0687525,18.16250525,22.3096858174,0.0006146764,0.0918900723,0.7136921178,Male/Female,g13895
-177.1844515,90.39164575,-21.9148896802,0.0006425758,0.0954330018,0.6860758473,Male/Female,g10959
31.5528865,54.77603925,21.7978642102,0.0006511858,0.0959204048,0.677688886,Male/Female,g4938
-8.4942065,4.54419625,-21.7313603317,0.0006561508,0.0959204048,0.6728808053,Male/Female,g4085
-3.345611,9.8306535,-21.6848494695,0.0006596547,0.0959204048,0.6694999679,Male/Female,g2194
-18.243586,10.048174,-21.6200086678,0.0006645833,0.0959204048,0.6647615561,Male/Female,g10052
46.084005,42.2188965,21.5551069827,0.0006695683,0.0959204048,0.6599891151,Male/Female,g442
-20.332431,17.7934365,-21.5147631048,0.0006726935,0.0959204048,0.6570074761,Male/Female,g5715
-115.4895515,155.15431025,-21.4799499898,0.0006754066,0.0959204048,0.654425286,Male/Female,g15264
-5.8968315,4.16653325,-21.369871549,0.000684087,0.0961577855,0.6462033015,Male/Female,g5716
21.880871,64.1133745,21.3265337631,0.0006875473,0.0961577855,0.6429423113,Male/Female,g14131
-15.1846165,15.95282225,-21.2840830255,0.0006909605,0.0961577855,0.6397348175,Male/Female,g13630
5.9886595,30.13437075,21.1438938448,0.0007024023,0.0961577855,0.6290483919,Male/Female,g13763
-528.0888525,521.73575575,-21.1194525616,0.0007044242,0.0961577855,0.6271703699,Male/Female,g2944
-3.6227505,2.65127875,-21.0965245053,0.0007063283,0.0961577855,0.62540457,Male/Female,g12521
8.9152105,39.65298825,21.0214548001,0.0007126133,0.0961577855,0.6195955128,Male/Female,g6930
